SCHOOL NAME,Num of SAT Test Takers,Critical Reading Avg Score,Math Avg. Score,Writing Avg. Score
MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,111,473,506,467
INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),111,390,408,383
JOHN F. KENNEDY HIGH SCHOOL,109,351,362,339
THE MICHAEL J. PETRIDES SCHOOL,107,472,488,466
THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,105,400,417,389
BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496,563,518
N.Y.C. MUSEUM SCHOOL,103,468,492,459
JUAN MOREL CAMPOS SECONDARY SCHOOL,102,365,361,359
"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,588
AUGUST MARTIN HIGH SCHOOL,101,377,371,360
QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99,513,523,502
ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99,431,458,441
MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,99,414,435,414
ACADEMY FOR CAREERS IN TELEVISION AND FILM,98,410,440,405
COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,97,444,471,433
MANHATTAN VILLAGE ACADEMY,95,441,473,458
WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95,394,414,376
PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,509,490,523
RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94,416,422,397
AUTOMOTIVE HIGH SCHOOL,94,367,376,350
HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,94,363,378,361
ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93,423,426,416
HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,92,636,648,636
NYC ISCHOOL,92,473,483,479
"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",92,399,417,395
UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366
JAMAICA HIGH SCHOOL,90,342,368,353
BROOKLYN INTERNATIONAL HIGH SCHOOL,90,305,364,312
SCHOLARS' ACADEMY,89,499,537,496
BEDFORD ACADEMY HIGH SCHOOL,89,438,443,431
ACADEMY OF FINANCE AND ENTERPRISE,89,405,454,421
EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,88,384,409,361
FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87,387,385,373
BRONX ENGINEERING AND TECHNOLOGY ACADEMY,86,373,412,365
PACE HIGH SCHOOL,85,423,438,432
GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85,406,391,392
LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84,416,426,391
RICHARD R. GREEN HIGH SCHOOL OF TEACHING,84,408,384,403
CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,83,399,418,390
TALENT UNLIMITED HIGH SCHOOL,81,469,472,475
BRONX CENTER FOR SCIENCE AND MATHEMATICS,81,459,480,457
BRONX LAB SCHOOL,81,377,391,367
"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80,443,447,440
